Tamil,English
நகுலேஸ்வரர் ஆலயத்திலுள்ள காளை மாட்டிற்கான நிதியுதவி,Financial assistance to the bull in Naguleswaram Temple
1129 சீருடைத்துணிகள் கொள்வனவு செய்யப்பட்டுள்ளன.,Purchased 1129 uniform materials
"இந்து சமயத்தவர்களுக்கு இந்து சமயம், இந்து சமய வரலாறு, தத்துவம், பண்பாடு, இந்துசமயப் பெரியார்கள், நூல்கள், தலங்கள், விரதங்கள் தொடர்பான பல விளக்கங்களைத் தரும் நூலாக இது அமைகின்றது.","This book contains research article related to Hindu Religion, History of Hindu Religion, Philosophy, Traditions, and Hindu Religious Leaders, Books, Temples and Fastings."
இத் திட்டம் 1989 ஆம் ஆண்டு ஆரம்பிக்கப்பட்டு 2014 ஆம் ஆண்டு நிறைவுற்றது.,It was started in 1989 and completed in 2014.
அதன் விபரம் வருமாறு.,The details are as follows.
இந்துக் கலைக்களஞ்சியத் தொகுதி,Sector of Hindu Encyclopedia
வெளியீடு செய்த ஆண்டு,Year of Published
கட்டுரைகளின் எண்ணிக்கை,Number of Essays
எழுத்துக்கள்,Letters
இந்து சமய கலாசார அலுவல்கள் திணைக்களத்தால் வெளியிடப்பட்ட இவ் இந்துக் கலைக்களஞ்சியமே உலகில் இந்து சமயத்திற்கான விடயங்களை உள்ளடக்கிய ஒரே கலைக்களஞ்சியமாக விளங்குகின்றது.,It is the first Encyclopedia in the world published by the Department of Hindu Religious and Cultural Affairs consisting of information about Hindu Religion.
உலகில் வாழ்கின்ற அனைத்து தமிழ் பேசும் இந்து மக்களுக்கும் பயனுள்ள ஆவணமாக இக் கலைக்களஞ்சியம் விளங்குவதால் எமது திணைக்களத்தின் அனுமதியுடன் மலேசிய திருமுருகன் திருவாக்குத் திருபீடத்தின் தலைவர் இக் கலைக்களஞ்சியங்களை மீள் பதிப்புச் செய்வதற்கு முன் வந்துள்ளார்.,"Since this Encyclopedia is an useful document to all Tamil speaking Hindu people in the world, president of Malaysian Thiruvakku Thirupeedam came forward to republish this Encyclopedia."
அவற்றை 2015 இல் மீள்பதிப்புச் செய்து வெளியீடு செய்வதற்கான நடவடிக்கை மேற்கொண்டுள்ளார்.,action has been taken to reprint in 2015.
இந்து அறநெறிப் பாடசாலை மாணவர்களின் பாடநூல்கள் மறுசீரமைப்பு.,Reformation of Textbooks of Hindu Aranery School Students
அரசாங்கத்தின் கொள்கை திட்டங்களுக்கமைய 1989ஆம் ஆண்டு அறநெறிப்பாடசாலைகள் ஆரம்பிக்கப்பட்டன.,"According to the Policy Planning of the Government, Aranery Schools were started in 1989."
“ஆலயம் தோறும் அறநெறிப் பாடசாலைகள்” எனும் கூற்றுக்கேற்ப ஆலயங்களின் கீழ் அறநெறிப்பாடசாலைகள் தொடங்கப்பட்டு திணைக்களத்தில் பதிவு செய்யப்பட்டது.,"Along with the statement “Aranery Schools in Every Temples”, Aranery schools were started in temples and registered in the Department."
